Model,Accuracy,Norm_acc,Overall_logits_mean,Overall_logits_std,ECE_logits,Task,Num_choices,Model_name,Prompt,Model_family,Model_version,Model_type,Model_size
Qwen2.5-3B_base_45,0.8421052631578947,0.7894736842105262,0.7635297618414226,0.1903696138504245,0.1624889812971416,conceptual_combinations,4,Qwen2.5-3B,base_45,qwen,2.5,base,3
Qwen2.5-3B_base_new_56,0.9473684210526316,0.9298245614035088,0.7628369174505535,0.1870792833787724,0.2107840619589153,conceptual_combinations,4,Qwen2.5-3B,base_new_56,qwen,2.5,base,3
Qwen2.5-7B_base_45,0.7368421052631579,0.6491228070175438,0.7778342366218567,0.1643287363030539,0.1599021177542836,conceptual_combinations,4,Qwen2.5-7B,base_45,qwen,2.5,base,7
Qwen2.5-7B_base_new_56,0.7368421052631579,0.6491228070175438,0.7526622963579077,0.1612838997979296,0.1727529309297862,conceptual_combinations,4,Qwen2.5-7B,base_new_56,qwen,2.5,base,7
Qwen2.5-14B_base_45,0.6842105263157895,0.5789473684210527,0.8052797364561182,0.2047509233763041,0.158424005696648,conceptual_combinations,4,Qwen2.5-14B,base_45,qwen,2.5,base,14
Qwen2.5-14B_base_new_56,0.6842105263157895,0.5789473684210527,0.7046703711936348,0.1975589470559351,0.2272756648691076,conceptual_combinations,4,Qwen2.5-14B,base_new_56,qwen,2.5,base,14
Qwen3-4B-Base_base_45,0.6842105263157895,0.5789473684210527,0.7395055921454179,0.2029099758706072,0.191662405666552,conceptual_combinations,4,Qwen3-4B-Base,base_45,qwen,3,base,4
Qwen3-4B-Base_base_new_56,0.5789473684210527,0.4385964912280702,0.7475714040429968,0.170591450967353,0.1784496668138002,conceptual_combinations,4,Qwen3-4B-Base,base_new_56,qwen,3,base,4
Qwen3-8B-Base_base_45,0.8947368421052632,0.8596491228070176,0.7537491603901512,0.2250200791339343,0.20846583655006,conceptual_combinations,4,Qwen3-8B-Base,base_45,qwen,3,base,8
Qwen3-8B-Base_base_new_56,0.7368421052631579,0.6491228070175438,0.681640154437015,0.2218432194866473,0.1732807096682096,conceptual_combinations,4,Qwen3-8B-Base,base_new_56,qwen,3,base,8
Qwen3-14B-Base_base_45,0.8421052631578947,0.7894736842105262,0.770080527192668,0.2118689564716825,0.1648607614793275,conceptual_combinations,4,Qwen3-14B-Base,base_45,qwen,3,base,14
Qwen3-14B-Base_base_new_56,0.7368421052631579,0.6491228070175438,0.76557394391612,0.1988548142706503,0.230940043926239,conceptual_combinations,4,Qwen3-14B-Base,base_new_56,qwen,3,base,14
Mistral-7B-v0.1_base_45,0.4736842105263157,0.2982456140350877,0.5910562621919733,0.1589347507016156,0.1963181997600354,conceptual_combinations,4,Mistral-7B-v0.1,base_45,mistral,0.1,base,7
Mistral-7B-v0.1_base_new_56,0.5789473684210527,0.4385964912280702,0.5785976648330688,0.2019043621514565,0.2001651619610033,conceptual_combinations,4,Mistral-7B-v0.1,base_new_56,mistral,0.1,base,7
Mistral-7B-v0.2_base_45,0.631578947368421,0.5087719298245613,0.5624397412726754,0.153550561128117,0.1961910175649742,conceptual_combinations,4,Mistral-7B-v0.2,base_45,mistral,0.2,base,7
Mistral-7B-v0.2_base_new_56,0.631578947368421,0.5087719298245613,0.5879371683848532,0.1689251782940858,0.1578010430461482,conceptual_combinations,4,Mistral-7B-v0.2,base_new_56,mistral,0.2,base,7
Mistral-7B-v0.3_base_45,0.631578947368421,0.5087719298245613,0.5624397883289739,0.1535505862843936,0.1961910803067056,conceptual_combinations,4,Mistral-7B-v0.3,base_45,mistral,0.3,base,7
Mistral-7B-v0.3_base_new_56,0.631578947368421,0.5087719298245613,0.5879372436749307,0.1689251520386805,0.1578010681428407,conceptual_combinations,4,Mistral-7B-v0.3,base_new_56,mistral,0.3,base,7
Mistral-Nemo-Base-2407_base_45,0.5789473684210527,0.4385964912280702,0.499003341323451,0.2031131105369808,0.1521252236868206,conceptual_combinations,4,Mistral-Nemo-Base-2407,base_45,mistral,nemo,base,12
